"","qseid","sscinames","n"
"1","OTU_1","Homo sapiens",497
"2","OTU_10","Callosciurus notatus",4
"3","OTU_101","Anas platyrhynchos",35
"4","OTU_103","Chlorocebus aethiops",2
"5","OTU_106","Canis lupus familiaris",423
"6","OTU_109","Limnonectes malesianus",2
"7","OTU_11","Paradoxurus hermaphroditus",1
"8","OTU_111","Macaca mulatta",1
"9","OTU_113","Macaca mulatta",1
"10","OTU_116","Macaca mulatta",1
"11","OTU_12","Rhinosciurus laticaudatus",1
"12","OTU_127","Macaca mulatta",3
"13","OTU_13","Potamochoerus porcus",4
"14","OTU_138","Sus scrofa",11
"15","OTU_14","Sundasciurus tenuis",1
"16","OTU_141","Macaca mulatta",87
"17","OTU_142","Macaca nigra",1
"18","OTU_143","Macaca mulatta",1
"19","OTU_145","Macaca mulatta",1
"20","OTU_147","Silvanus unidentatus",1
"21","OTU_148","Maxomys ochraceiventer",1
"22","OTU_15","Macaca fascicularis",1
"23","OTU_153","Macaca mulatta",1
"24","OTU_16","Macaca fascicularis",79
"25","OTU_164","Macaca mulatta",1
"26","OTU_165","Sundamys annandalei",2
"27","OTU_166","Papio anubis",1
"28","OTU_17","Homo sapiens",5
"29","OTU_173","Chlorocebus sabaeus",6
"30","OTU_177","Homo sapiens",1
"31","OTU_18","Babyrousa babyrussa",2
"32","OTU_183","Homo sapiens",3
"33","OTU_187","Oryx dammah",1
"34","OTU_19","Ovis aries",478
"35","OTU_190","Tupaia glis",2
"36","OTU_191","Macaca assamensis",2
"37","OTU_191","Macaca thibetana",2
"38","OTU_193","Cetonia aurata",1
"39","OTU_194","Macaca mulatta",1
"40","OTU_2","Sus scrofa",20
"41","OTU_20","Rattus lutreolus",1
"42","OTU_21","Haliastur indus",2
"43","OTU_22","Bubalus bubalis",225
"44","OTU_223","Sus scrofa",20
"45","OTU_23","Homo sapiens",2
"46","OTU_24","Sundamys annandalei",2
"47","OTU_246","Macaca mulatta",1
"48","OTU_25","Homo sapiens",7
"49","OTU_26","Homo sapiens",1
"50","OTU_262","Sus scrofa",384
"51","OTU_27","Homo sapiens",3
"52","OTU_28","Homo sapiens",4
"53","OTU_283","Galeopterus variegatus",1
"54","OTU_29","Macaca mulatta",1
"55","OTU_293","Canis lupus familiaris",3
"56","OTU_297","Tupaia glis",2
"57","OTU_3","Macaca fascicularis",20
"58","OTU_30","Tupaia glis",2
"59","OTU_300","Mandrillus leucophaeus",1
"60","OTU_300","Piliocolobus tephrosceles",1
"61","OTU_300","Trachypithecus francoisi",1
"62","OTU_307","Homo sapiens",2
"63","OTU_309","Lasioglossum lativentre",7
"64","OTU_31","Homo sapiens",2
"65","OTU_33","Macaca mulatta",1
"66","OTU_34","Macaca mulatta",1
"67","OTU_345","Lochmaea capreae",1
"68","OTU_355","Macaca mulatta",1
"69","OTU_36","Pan troglodytes",1
"70","OTU_37","Colobus angolensis palliatus",1
"71","OTU_377","Sus scrofa",384
"72","OTU_38","Macaca mulatta",1
"73","OTU_395","Onthophagus taurus",1
