qseid,sscinames,nOTU
OTU_1301,Agelastica alni,12S_OTU_1
OTU_1442,Agrilus biguttatus,12S_OTU_2
OTU_4734,Alloplasta piceator,12S_OTU_3
OTU_427,Amblygaster sirm,12S_OTU_4
OTU_75,Anas platyrhynchos,12S_OTU_5
OTU_2382,Aphodius sticticus,12S_OTU_6
OTU_3733,Aphodius sticticus,12S_OTU_6
OTU_5920,Aphodius sticticus,12S_OTU_6
OTU_1537,Apoda limacodes,12S_OTU_7
OTU_2480,Apoderus coryli,12S_OTU_8
OTU_1252,Aradus depressus,12S_OTU_9
OTU_5954,Aspergillus puulaauensis,12S_OTU_10
OTU_1394,Aspergillus sydowii CBS 593.65,12S_OTU_11
OTU_4469,Athripsodes cinereus,12S_OTU_12
OTU_221,Babyrousa babyrussa,12S_OTU_13
OTU_119,Barbatula barbatula,12S_OTU_14
OTU_197,Barbus barbus,12S_OTU_15
OTU_35,Bos taurus,12S_OTU_16
OTU_12,Butastur liventer,12S_OTU_17
OTU_537,Caenorhabditis plicata,12S_OTU_18
OTU_162,Calamaria septentrionalis,12S_OTU_19
OTU_1027,Callosciurus notatus,12S_OTU_20
OTU_17,Callosciurus notatus,12S_OTU_20
OTU_6783,Carabus problematicus,12S_OTU_21
OTU_4067,Caradrina clavipalpis,12S_OTU_22
OTU_391,Carassius auratus,12S_OTU_23
OTU_1640,Cepaea hortensis,12S_OTU_24
OTU_235,Cetonia aurata,12S_OTU_25
OTU_6350,Cetonia aurata,12S_OTU_25
OTU_16,Channa striata,12S_OTU_26
OTU_84,Cichla temensis,12S_OTU_27
OTU_1801,Coleoptera,12S_OTU_28
OTU_1801,Coleoptera,12S_OTU_28
OTU_2595,Coleoptera,12S_OTU_28
OTU_2595,Coleoptera,12S_OTU_28
OTU_389,Cottus gobio,12S_OTU_29
OTU_1725,Crambidae,12S_OTU_30
OTU_1725,Crambidae,12S_OTU_30
OTU_4764,Crioceris asparagi,12S_OTU_31
OTU_1850,Cryptocephalus moraei,12S_OTU_32
OTU_2495,Ctenicera cuprea,12S_OTU_33
OTU_1042,Cylloceria caligata,12S_OTU_34
OTU_5071,Cylloceria caligata,12S_OTU_34
OTU_57,Cypriniformes,12S_OTU_35
OTU_57,Cypriniformes,12S_OTU_35
OTU_39,Decapterus maruadsi,12S_OTU_36
OTU_189,Encrasicholina punctifer,12S_OTU_37
OTU_1469,Endomychus coccineus,12S_OTU_38
OTU_2619,Endomychus coccineus,12S_OTU_38
OTU_23,Galeopterus variegatus peninsulae,12S_OTU_39
OTU_2,Gallus gallus,12S_OTU_40
OTU_1382,Gasterosteus aculeatus,12S_OTU_41
OTU_926,Gekkonidae,12S_OTU_42
OTU_926,Gekkonidae,12S_OTU_42
OTU_1783,Geotrupes spiniger,12S_OTU_43
OTU_4891,Geotrupes spiniger,12S_OTU_43
OTU_1795,Gymnoscelis rufifasciata,12S_OTU_44
OTU_3679,Harpalus rubripes,12S_OTU_45
OTU_5781,Harpalus rubripes,12S_OTU_45
OTU_1155,Harpalus rufipes,12S_OTU_46
OTU_1384,Hemibagrus wyckioides,12S_OTU_47
OTU_278,Heosemys grandis,12S_OTU_48
OTU_5343,Hermaeophaga mercurialis,12S_OTU_49
OTU_1,Homo sapiens,12S_OTU_50
OTU_1059,Homo sapiens,12S_OTU_50
OTU_1063,Homo sapiens,12S_OTU_50
OTU_1077,Homo sapiens,12S_OTU_50
OTU_113,Homo sapiens,12S_OTU_50
OTU_121,Homo sapiens,12S_OTU_50
OTU_1215,Homo sapiens,12S_OTU_50
OTU_128,Homo sapiens,12S_OTU_50
OTU_142,Homo sapiens,12S_OTU_50
OTU_158,Homo sapiens,12S_OTU_50
OTU_160,Homo sapiens,12S_OTU_50
OTU_212,Homo sapiens,12S_OTU_50
OTU_217,Homo sapiens,12S_OTU_50
OTU_2389,Homo sapiens,12S_OTU_50
OTU_2394,Homo sapiens,12S_OTU_50
OTU_248,Homo sapiens,12S_OTU_50
OTU_260,Homo sapiens,12S_OTU_50
OTU_268,Homo sapiens,12S_OTU_50
OTU_272,Homo sapiens,12S_OTU_50
OTU_279,Homo sapiens,12S_OTU_50
OTU_2883,Homo sapiens,12S_OTU_50
OTU_298,Homo sapiens,12S_OTU_50
OTU_299,Homo sapiens,12S_OTU_50
OTU_3598,Homo sapiens,12S_OTU_50
OTU_372,Homo sapiens,12S_OTU_50
OTU_375,Homo sapiens,12S_OTU_50
OTU_440,Homo sapiens,12S_OTU_50
OTU_520,Homo sapiens,12S_OTU_50
OTU_571,Homo sapiens,12S_OTU_50
OTU_610,Homo sapiens,12S_OTU_50
OTU_6314,Homo sapiens,12S_OTU_50
OTU_6985,Homo sapiens,12S_OTU_50
OTU_740,Homo sapiens,12S_OTU_50
OTU_87,Homo sapiens,12S_OTU_50
OTU_90,Homo sapiens,12S_OTU_50
OTU_93,Homo sapiens,12S_OTU_50
OTU_980,Homo sapiens,12S_OTU_50
OTU_390,Kalophrynus sp. KUHE 53284,12S_OTU_51
OTU_668,Katsuwonus pelamis,12S_OTU_52
OTU_3004,Lasioglossum pauxillum,12S_OTU_53
OTU_3523,Lasioglossum pauxillum,12S_OTU_53
OTU_1001,Leptobrachium nigrops,12S_OTU_54
OTU_290,Leuciscus leuciscus,12S_OTU_55
OTU_2873,Macaca fascicularis,12S_OTU_56
OTU_5315,Macaca fascicularis,12S_OTU_56
OTU_5893,Macaca fascicularis,12S_OTU_56
OTU_592,Macaca fascicularis,12S_OTU_56
OTU_1358,Macaca fascicularis aureus,12S_OTU_57
OTU_1128,Macaca mulatta,12S_OTU_58
OTU_1422,Macaca mulatta,12S_OTU_58
OTU_1503,Macaca mulatta,12S_OTU_58
OTU_186,Macaca mulatta,12S_OTU_58
OTU_193,Macaca mulatta,12S_OTU_58
OTU_200,Macaca mulatta,12S_OTU_58
OTU_234,Macaca mulatta,12S_OTU_58
OTU_2517,Macaca mulatta,12S_OTU_58
OTU_320,Macaca mulatta,12S_OTU_58
OTU_321,Macaca mulatta,12S_OTU_58
OTU_332,Macaca mulatta,12S_OTU_58
OTU_340,Macaca mulatta,12S_OTU_58
OTU_393,Macaca mulatta,12S_OTU_58
OTU_399,Macaca mulatta,12S_OTU_58
OTU_4402,Macaca mulatta,12S_OTU_58
OTU_560,Macaca mulatta,12S_OTU_58
OTU_70,Macaca mulatta,12S_OTU_58
OTU_92,Macaca mulatta,12S_OTU_58
OTU_265,Macaca mulatta;Macaca maura,12S_OTU_59
OTU_1123,Macaca sp,12S_OTU_60
OTU_1123,Macaca sp,12S_OTU_60
OTU_566,Macaca sp,12S_OTU_60
OTU_566,Macaca sp,12S_OTU_60
OTU_566,Macaca sp,12S_OTU_60
OTU_7,Macaca sp,12S_OTU_60
OTU_7,Macaca sp,12S_OTU_60
OTU_104,Mallotus villosus,12S_OTU_61
