SpecimenID,Species,DungType,TimePt,Storage,Extraction,DNAPurity,DNAYield
CM0001,Catharsius_molossus,Elephant,0,LiqN,Gut,0.704778638,31.02344779
CM0002,Catharsius_molossus,Elephant,0,LiqN,Gut,1.994401197,39.6832083
CM0003,Catharsius_molossus,Elephant,0,LiqN,Gut,0.143684705,37.10587832
CM0004,Catharsius_molossus,Elephant,0,LiqN,Gut,1.359987707,36.06900427
CM0005,Catharsius_molossus,Elephant,0,LiqN,Gut,1.09304968,38.89029739
CM0006,Catharsius_molossus,Elephant,0,LiqN,Gut,0.333347176,40.96196758
CM0007,Catharsius_molossus,Elephant,0,LiqN,Gut,1.948066336,40.66797431
CM0008,Catharsius_molossus,Elephant,0,LiqN,Gut,0.833031516,43.45542534
CM0009,Catharsius_molossus,Elephant,0,LiqN,Gut,0.156567916,42.18444649
CM0010,Catharsius_molossus,Elephant,0,LiqN,Gut,1.869654326,38.19867266
CM0011,Catharsius_molossus,Elephant,30,LiqN,Gut,0.799658883,48.43995585
CM0012,Catharsius_molossus,Elephant,30,LiqN,Gut,1.657018073,46.83840857
CM0013,Catharsius_molossus,Elephant,30,LiqN,Gut,1.992821238,47.36149581
CM0014,Catharsius_molossus,Elephant,30,LiqN,Gut,0.762144664,48.39369448
CM0015,Catharsius_molossus,Elephant,30,LiqN,Gut,1.829461206,46.12256126
CM0016,Catharsius_molossus,Elephant,30,LiqN,Gut,1.949225944,48.90374192
CM0017,Catharsius_molossus,Elephant,30,LiqN,Gut,1.704783176,45.81348077
CM0018,Catharsius_molossus,Elephant,30,LiqN,Gut,1.486018333,47.35379161
CM0019,Catharsius_molossus,Elephant,30,LiqN,Gut,1.711458022,46.69725209
CM0020,Catharsius_molossus,Elephant,30,LiqN,Gut,1.131048411,45.45114825
CM0021,Catharsius_molossus,Elephant,60,LiqN,Gut,0.680031875,40.64093144
CM0022,Catharsius_molossus,Elephant,60,LiqN,Gut,1.719551099,47.9456441
CM0023,Catharsius_molossus,Elephant,60,LiqN,Gut,0.253541679,44.51283833
CM0024,Catharsius_molossus,Elephant,60,LiqN,Gut,1.314446325,45.61407481
CM0025,Catharsius_molossus,Elephant,60,LiqN,Gut,0.944306733,41.30211871
CM0026,Catharsius_molossus,Elephant,60,LiqN,Gut,0.703485477,45.14231011
CM0027,Catharsius_molossus,Elephant,60,LiqN,Gut,1.996209322,44.1810842
CM0028,Catharsius_molossus,Elephant,60,LiqN,Gut,0.6673936,43.83495603
CM0029,Catharsius_molossus,Elephant,60,LiqN,Gut,1.966658123,46.00370904
CM0030,Catharsius_molossus,Elephant,60,LiqN,Gut,0.85519912,44.28853521
CM0031,Catharsius_molossus,Elephant,120,LiqN,Gut,1.153635066,38.08502457
CM0032,Catharsius_molossus,Elephant,120,LiqN,Gut,0.202793145,36.09039979
CM0033,Catharsius_molossus,Elephant,120,LiqN,Gut,0.907761552,36.71081372
CM0034,Catharsius_molossus,Elephant,120,LiqN,Gut,0.917400873,30.37907804
CM0035,Catharsius_molossus,Elephant,120,LiqN,Gut,1.889576606,31.32623357
CM0036,Catharsius_molossus,Elephant,120,LiqN,Gut,0.002303125,33.57061639
