,Onthophagus crassicollis,Onthophagus deliensis,Onthophagus rutilans,Onthophagus trituber,Onthophagus waterstradti
XROTU_36,0,0,0,0,0
XROTU_40,0,1,0,0,0
XROTU_13,0,1,0,0,1
XROTU_10,0,2,0,0,0
XROTU_17,0,0,0,0,0
XROTU_07,0,0,0,0,1
XROTU_27,0,0,0,0,0
XROTU_32,0,1,0,0,0
XROTU_28,0,0,0,0,0
XROTU_29,0,0,0,0,0
XROTU_34,0,1,0,0,0
XROTU_05,0,1,0,0,4
XROTU_04,0,4,0,0,11
XROTU_15,0,0,0,0,0
XROTU_02,1,11,0,1,5
XROTU_19,0,0,0,0,2
XROTU_31,0,1,0,0,2
XROTU_37,0,1,0,0,0
XROTU_25,0,0,0,0,1
XROTU_39,0,0,0,0,0
XROTU_16,0,0,0,0,0
XROTU_21,0,1,0,0,1
XROTU_38,0,1,0,0,0
XROTU_08,0,1,0,0,0
XROTU_11,0,0,0,0,0
XROTU_22,0,1,0,0,0
XROTU_14,0,1,0,0,0
XROTU_23,1,2,0,0,0
XROTU_09,0,2,0,0,0
XROTU_03,0,2,0,1,0
XROTU_18,0,1,0,0,1
XROTU_12,0,0,0,0,0
XROTU_01,0,9,0,0,11
XROTU_06,0,0,0,0,1
XROTU_20,0,2,0,0,2
XROTU_24,0,0,0,0,0
