"","Catharsius renaudpauliani","Onthophagus (Indacorius) sp.","Onthophagus aff. semicupreus","Onthophagus angustatus","Onthophagus babirussa","Onthophagus cf. rutilans","Onthophagus crassicollis","Onthophagus deliensis","Onthophagus pedator","Onthophagus proletarius","Onthophagus rutilans","Onthophagus semifex","Onthophagus trituber","Onthophagus waterstradti","Paragymnopleurus maurus"
"XROTU_36","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"XROTU_13","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"XROTU_10","1","0","0","0","0","0","0","0","0","0","1","0","1","5","2"
"XROTU_17","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"XROTU_07","3","0","0","0","1","0","1","0","0","0","2","0","0","2","1"
"XROTU_27","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"XROTU_32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_28","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_29","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"XROTU_34","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_05","4","0","1","0","0","0","0","0","0","0","2","0","0","5","5"
"XROTU_04","7","0","0","0","2","0","0","0","0","0","8","0","0","9","5"
"XROTU_15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"XROTU_02","25"," 0"," 4"," 0"," 5"," 1"," 0"," 0"," 1"," 0","11"," 0"," 0","13","11"
"XROTU_19","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"XROTU_31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_37","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
"XROTU_25","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"XROTU_39","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_16","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"XROTU_21","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"XROTU_38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_08","1","0","2","1","0","0","0","0","0","0","0","0","0","2","1"
"XROTU_11","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"XROTU_22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_14","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
"XROTU_23","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XROTU_09","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"XROTU_03","4","0","0","0","0","0","0","0","0","0","3","0","0","1","3"
"XROTU_18","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"XROTU_12","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"XROTU_01","35"," 0"," 3"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0","11"," 8"
"XROTU_06","3","0","0","0","1","0","0","0","0","0","3","0","0","3","1"
"XROTU_20","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"XROTU_24","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
