,Catharsius renaudpauliani,Onthophagus aff. semicupreus,Onthophagus angustatus,Onthophagus babirussa,Onthophagus cf. rutilans,Onthophagus crassicollis,Onthophagus pedator,Onthophagus rutilans,Onthophagus waterstradti,Paragymnopleurus maurus
XROTU_02,25,4,0,5,1,0,1,11,13,11
XROTU_01,35,3,0,1,0,0,0,7,11,8
XROTU_04,7,0,0,2,0,0,0,8,9,5
XROTU_05,4,1,0,0,0,0,0,2,5,5
XROTU_03,4,0,0,0,0,0,0,3,1,3
XROTU_06,3,0,0,1,0,0,0,3,3,1
XROTU_07,3,0,0,1,0,1,0,2,2,1
XROTU_08,1,2,1,0,0,0,0,0,2,1
XROTU_09,3,0,0,0,0,0,0,0,2,1
XROTU_37,0,0,0,0,0,0,0,1,0,2
XROTU_12,1,0,0,0,0,0,0,0,1,0
XROTU_20,0,1,0,0,0,0,0,0,0,1
XROTU_27,0,0,0,0,0,0,0,0,1,1
XROTU_15,0,0,0,0,0,0,0,0,1,0
XROTU_18,0,0,0,0,0,0,0,0,1,0
XROTU_25,0,0,0,0,0,0,0,0,1,0
XROTU_28,1,0,0,0,0,0,0,0,0,0
