ID,Species,Common_Name,Native,Ground_Abundance,Canopy_Abundance,Sp,Colour,Combined
XROTU_01,Wild Boar (Sus scrofa),Wild Boar,Y,65,20,"""Wild Boar"",",#FFCC99FF,"""Wild Boar"" = ""#FFCC99FF"","
XROTU_02,Long-tailed Macaque (Macaca fascicularis),Long-tailed Macaque,Y,71,18,"""Long-tailed Macaque"",",#FFCC66FF,"""Long-tailed Macaque"" = ""#FFCC66FF"","
XROTU_04,Red Junglefowl (Gallus gallus),Red Junglefowl,Y,31,15,"""Red Junglefowl"",",#FF9933FF,"""Red Junglefowl"" = ""#FF9933FF"","
XROTU_05,Sunda Flying Lemur (Galeopterus variegatus),Sunda Flying Lemur,Y,17,5,"""Sunda Flying Lemur"",",#664466FF,"""Sunda Flying Lemur"" = ""#664466FF"","
XROTU_20,Common Treeshrew (Tupaia glis),Common Treeshrew,Y,2,4,"""Common Treeshrew"",",#CC99CCFF,"""Common Treeshrew"" = ""#CC99CCFF"","
XROTU_03,Sambar Deer (Rusa unicolor),Sambar Deer,Y,11,3,"""Sambar Deer"",",#99CCFFFF,"""Sambar Deer"" = ""#99CCFFFF"","
XROTU_31,Sunda Pangolin (Manis javanica),Sunda Pangolin,Y,0,3,"""Sunda Pangolin"",",#3366CCFF,"""Sunda Pangolin"" = ""#3366CCFF"","
XROTU_09,Shrew-faced Squirrel (Rhinosciurus laticaudatus),Shrew-faced Squirrel,Y,6,2,"""Shrew-faced Squirrel"",",#006699FF,"""Shrew-faced Squirrel"" = ""#006699FF"","
XROTU_18,Annandale's Rat (Sundamys annandalei),Annandale's Rat,Y,1,2,"""Annandale's Rat"",",#9999CCFF,"""Annandale's Rat"" = ""#9999CCFF"","
XROTU_06,Lesser Mousedeer (Tragulus javanicus),Lesser Mousedeer,Y,11,1,"""Lesser Mousedeer"",",#9999FFFF,"""Lesser Mousedeer"" = ""#9999FFFF"","
XROTU_07,Plantain Squirrel (Callosciurus notatus),Plantain Squirrel,Y,10,1,"""Plantain Squirrel"",",#CC6699FF,"""Plantain Squirrel"" = ""#CC6699FF"","
XROTU_08,Asian Palm Civet (Paradoxurus hermaphroditus),Asian Palm Civet,Y,7,1,"""Asian Palm Civet"",",#CC6666FF,"""Asian Palm Civet"" = ""#CC6666FF"","
XROTU_37,Chestnut-bellied Spiny Rat (Maxomys ochraceiventer),Chestnut-bellied Spiny Rat,Y,3,1,"""Chestnut-bellied Spiny Rat"",",#FF9966FF,"""Chestnut-bellied Spiny Rat"" = ""#FF9966FF"","
XROTU_12,Slender Squirrel (Sundasciurus tenuis),Slender Squirrel,Y,2,0,"""Slender Squirrel"",",#9977AAFF,"""Slender Squirrel"" = ""#9977AAFF"","
XROTU_27,Domestic Dog (Canis lupus familiaris),Domestic Dog,Y,2,0,"""Domestic Dog"",",#4455BBFF,"""Domestic Dog"" = ""#4455BBFF"","
XROTU_15,Brahminy Kite (Haliastur indus),Brahminy Kite,Y,1,0,"""Brahminy Kite"",",#DD6644FF,"""Brahminy Kite"" = ""#DD6644FF"","
XROTU_28,Lesser Short-nosed Fruit Bat (Cynopterus brachyotis),Lesser Short-nosed Fruit Bat,Y,1,0,"""Lesser Short-nosed Fruit Bat"",",#774466FF,"""Lesser Short-nosed Fruit Bat"" = ""#774466FF"","
XROTU_25,Sunda Slow Loris (Nycticebus coucang insularis),Sunda Slow Loris,Y,1,1,"""Sunda Slow Loris"",",#6688CCFF,"""Sunda Slow Loris"" = ""#6688CCFF"","
XROTU_23,Golden Snub-nosed Monkey (Rhinopithecus roxellana),Golden Snub-nosed Monkey,N,1,3,"""Golden Snub-nosed Monkey"",",#d3d3d3,"""Golden Snub-nosed Monkey"" = ""#d3d3d3"","
XROTU_10,Cattle (Bos taurus),Cattle,N,10,2,"""Cattle"",",#d3d3d3,"""Cattle"" = ""#d3d3d3"","
XROTU_19,Rhesus Macaque (Macaca mulatta),Rhesus Macaque,N,3,2,"""Rhesus Macaque"",",#d3d3d3,"""Rhesus Macaque"" = ""#d3d3d3"","
XROTU_21,Chimpanzee (Pan troglodytes),Chimpanzee,N,3,2,"""Chimpanzee"",",#d3d3d3,"""Chimpanzee"" = ""#d3d3d3"","
XROTU_13,Babirusa (Babyrousa babyrussa),Babirusa,N,2,2,"""Babirusa"",",#d3d3d3,"""Babirusa"" = ""#d3d3d3"","
XROTU_14,Australian Swamp Rat (Rattus lutreolus),Australian Swamp Rat,N,3,1,"""Australian Swamp Rat"",",#d3d3d3,"""Australian Swamp Rat"" = ""#d3d3d3"","
XROTU_40,North Island brown kiwi (Apteryx australis mantelli),North Island brown kiwi,N,3,1,"""North Island brown kiwi"",",#d3d3d3,"""North Island brown kiwi"" = ""#d3d3d3"","
XROTU_32,Sooty mangabey (Cercocebus atys),Sooty mangabey,N,2,1,"""Sooty mangabey"",",#d3d3d3,"""Sooty mangabey"" = ""#d3d3d3"","
XROTU_34,Family Cercopithecidae,Family Cercopithecidae,N,1,1,"""Family Cercopithecidae"",",#d3d3d3,"""Family Cercopithecidae"" = ""#d3d3d3"","
XROTU_16,Sheep (Ovis aries),Sheep,N,4,0,"""Sheep"",",#d3d3d3,"""Sheep"" = ""#d3d3d3"","
XROTU_24,Bengal Monitor (Varanus bengalensis),Bengal Monitor,N,4,0,"""Bengal Monitor"",",#d3d3d3,"""Bengal Monitor"" = ""#d3d3d3"","
XROTU_29,Asiatic Elephant (Elephas maximus),Asiatic Elephant,N,3,0,"""Asiatic Elephant"",",#d3d3d3,"""Asiatic Elephant"" = ""#d3d3d3"","
XROTU_36,Mallard (Anas platyrhynchos),Mallard,N,3,0,"""Mallard"",",#d3d3d3,"""Mallard"" = ""#d3d3d3"","
XROTU_11,Red River Hog (Potamochoerus porcus),Red River Hog,N,2,0,"""Red River Hog"",",#d3d3d3,"""Red River Hog"" = ""#d3d3d3"","
XROTU_17,Water Buffalo (Bubalus bubalis),Water Buffalo,N,2,0,"""Water Buffalo"",",#d3d3d3,"""Water Buffalo"" = ""#d3d3d3"","
XROTU_39,Scimitar Oryx (Oryx dammah),Scimitar Oryx,N,1,0,"""Scimitar Oryx"",",#d3d3d3,"""Scimitar Oryx"" = ""#d3d3d3"","
XROTU_22,Red-Shanked Douc (Pygathrix nemaeus),Red-Shanked Douc,N,0,1,"""Red-Shanked Douc"",",#d3d3d3,"""Red-Shanked Douc"" = ""#d3d3d3"","
XROTU_38,Olive Baboon (Papio anubis),Olive Baboon,N,0,1,"""Olive Baboon"",",#d3d3d3,"""Olive Baboon"" = ""#d3d3d3"","
