sn,sample,set_time,gut,storage,cq,log,dna_amt,dna_c_n,log_dna_c_n
1,0m.01,0,Full,Ethanol + Freeze,24.46380448,-6.447970021,3.80E-07,3731.53896,3.57188798
2,0m.02,0,Full,Ethanol + Freeze,24.29470841,-6.379393465,4.45E-07,4366.81922,3.640165213
3,0m.03,0,Full,Ethanol + Freeze,26.25934262,-7.176146737,7.16E-08,702.8936404,2.846889614
4,0m.04,0,Full,Ethanol + Freeze,24.59489704,-6.501134332,3.37E-07,3303.358597,3.518955721
5,0m.05,0,Full,Ethanol + Freeze,24.07072987,-6.28855944,5.48E-07,5377.776702,3.730602765
6,0m.06,0,Empty (with specks),Ethanol + Freeze,34.1564368,-10.37879666,4.64E-11,0.455217171,-0.341781365
7,0m.07,0,Full,Ethanol + Freeze,22.24882154,-5.549688351,2.98E-06,29258.28227,4.466248825
8,0m.08,0,Partially full,Ethanol + Freeze,26.45731635,-7.256434565,5.96E-08,584.7257596,2.766952227
9,0m.09,0,Full,Ethanol + Freeze,11.34357229,NA,NA,NA,NA
10,0m.10,0,Full,Ethanol only,24.42852494,-6.43366248,3.93E-07,3855.964901,3.586133072
11,0m.11,0,Partially full,Ethanol only,32.8600765,-9.853060466,1.55E-10,1.519357914,0.181660092
12,0m.12,0,Full,Ethanol only,24.75365915,-6.565519972,2.90E-07,2850.041028,3.454851112
13,0m.13,0,Full,Ethanol only,24.15215595,-6.321581615,5.08E-07,4985.683738,3.697724726
14,0m.14,0,Full,Ethanol only,25.39932557,-6.827368633,1.59E-07,1563.670958,3.19414537
15,0m.15,0,Full,Ethanol only,24.49880567,-6.462164679,3.68E-07,3612.062689,3.557755279
16,0m.16,0,Full,Ethanol only,25.09967502,-6.705845979,2.11E-07,2066.034647,3.3151376
17,0m.17,0,Full,Ethanol only,24.46911642,-6.450124269,3.78E-07,3713.155482,3.569743135
18,0m.18,0,Full,Ethanol only,25.63103487,-6.92133785,1.28E-07,1260.626144,3.10058631
19,30m.01,0.5,Full,Ethanol + Freeze,23.72708239,-6.149193928,7.54E-07,7402.185667,3.869359974
20,30m.02,0.5,Full,Ethanol + Freeze,24.43669183,-6.436974542,3.90E-07,3826.797368,3.582835467
21,30m.03,0.5,Full,Ethanol + Freeze,26.40128105,-7.233709568,6.28E-08,615.9962015,2.789578034
22,30m.04,0.5,Partially full,Ethanol + Freeze,25.89381953,-7.027909614,1.01E-07,987.3695083,2.994479711
23,30m.05,0.5,Partially full,Ethanol + Freeze,28.03244231,-7.895223584,1.38E-08,135.192126,2.130951398
