sample,cq,set_time,set_time_n
S2,3.447405829,standard,standard
S3,6.521855523,standard,standard
S4,14.00436519,standard,standard
S5,21.06630778,standard,standard
S6,24.82411016,standard,standard
S7,25.84723855,standard,standard
S8,28.54926837,standard,standard
G1.2,26.79376446,0m,1
G1.3,28.16173372,0m,1
G1.4,24.41530589,0m,1
G1.5,26.58076536,0m,1
G1.6,25.18008433,0m,1
G1.7,28.54873861,0m,1
G1.8,25.01793789,0m,1
G2.2,24.9337535,30m,2
G2.3,0,30m,2
G2.4,29.62792312,30m,2
G2.5,27.97140066,30m,2
G2.6,12.86147419,30m,2
G3.2,27.27834546,1h,3
G3.3,28.71420268,1h,3
G3.4,30.03164393,1h,3
G3.5,27.77917115,1h,3
G3.6,31.57591916,1h,3
G4.2,26.14586907,2h,4
G4.3,27.1816838,2h,4
G4.4,25.14417649,2h,4
G4.5,31.48573497,2h,4
G5.2,28.91018501,3h,5
G5.3,25.72986925,3h,5
G5.4,28.72224565,3h,5
G5.5,28.37550512,3h,5
G5.6,26.38630685,3h,5
G6.2,35.32486249,6h,6
G6.3,35.8473859,6h,6
G6.4,26.5032852,6h,6
G6.5,24.21742632,6h,6
G7.2,33.46217405,10h,7
G7.3,31.23128005,10h,7
G7.4,2.520208958,10h,7
G7.5,35.30889269,10h,7
G8.1,0,24h,8
G8.2,34.40810125,24h,8
G8.3,0,24h,8
G8.4,32.6569648,24h,8
