qseid,sseqid,pident,length,mismatch,gapopens,qstart,qend,sstart,send,evalue,bitscore
OTU_1,MW467862.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MW698521.2,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MZ387361.1,100,100,0,0,1,100,1093,1192,1.27E-41,181
OTU_1,MN610410.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MT506274.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,MH449241.1,100,100,0,0,1,100,1093,1192,1.27E-41,181
OTU_1,MF498884.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,KY409531.1,100,100,0,0,1,100,1093,1192,1.27E-41,181
OTU_1,MF056126.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,OP682430.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MK248389.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,ON155458.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MH120756.1,100,100,0,0,1,100,1103,1202,1.27E-41,181
OTU_1,KY680821.1,100,100,0,0,1,100,1093,1192,1.27E-41,181
OTU_1,MF057480.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MG672488.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MK175431.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,MF058188.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,MN699954.1,100,100,0,0,1,100,1086,1185,1.27E-41,181
OTU_1,KY824827.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MF055747.1,100,100,0,0,1,100,1093,1192,1.27E-41,181
OTU_1,MF056399.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MN595724.2,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,KY409740.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MN595843.3,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MN687306.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,PV740852.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MH120450.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MZ846416.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MZ387983.1,100,100,0,0,1,100,1093,1192,1.27E-41,181
OTU_1,MZ847128.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,KY645852.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MG571220.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MZ387702.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MK265715.1,100,100,0,0,1,100,1099,1198,1.27E-41,181
OTU_1,MZ387538.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,MF498685.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,KY409610.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MN849648.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MF058561.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MH120619.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,OP004786.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,PP084263.1,100,100,0,0,1,100,1095,1194,1.27E-41,181
OTU_1,MN848580.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,MK617272.1,100,100,0,0,1,100,1096,1195,1.27E-41,181
OTU_1,MK408597.1,100,100,0,0,1,100,1097,1196,1.27E-41,181
OTU_1,MK059566.1,100,100,0,0,1,100,1083,1182,1.27E-41,181
OTU_1,OL638895.1,100,100,0,0,1,100,1097,1196,1.27E-41,181
OTU_1,PQ002752.1,100,100,0,0,1,100,1091,1190,1.27E-41,181
OTU_1,KY410169.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
OTU_1,MK139589.1,100,100,0,0,1,100,1094,1193,1.27E-41,181
