ID,accession,ssciname,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU_1,OR643891.1,Homo sapiens,100,94,0,0,1,94,2824,2917,1.45E-39,174
OTU_1,OR643892.1,Homo sapiens,100,94,0,0,1,94,2828,2921,1.45E-39,174
OTU_1,OR652292.1,Homo sapiens,100,94,0,0,1,94,2830,2923,1.45E-39,174
OTU_10,KJ698653.1,Paradoxurus hermaphroditus,100,94,0,0,1,94,209,302,1.45E-39,174
OTU_10,MG996894.1,Paradoxurus hermaphroditus,98.936,94,1,0,1,94,20,113,6.76E-38,169
OTU_10,MW257219.1,Paradoxurus hermaphroditus,97.872,94,2,0,1,94,2265,2358,3.14E-36,163
OTU_104,OR129837.1,Canis lupus familiaris,100,92,0,0,1,92,2249,2340,1.82E-38,171
OTU_104,OR129838.1,Canis lupus familiaris,100,92,0,0,1,92,2216,2307,1.82E-38,171
OTU_104,OR591248.1,Canis lupus familiaris,100,92,0,0,1,92,335,426,1.82E-38,171
OTU_109,NM_001195043.2,Macaca mulatta,96.809,94,3,0,1,94,855,948,1.46E-34,158
OTU_109,OP088126.1,Cercocebus atys,94.681,94,5,0,1,94,294,387,3.17E-31,147
OTU_109,OQ199571.1,Macaca assamensis,94.681,94,5,0,1,94,2249,2342,3.17E-31,147
OTU_11,AY227463.1,Rhinosciurus laticaudatus,95.652,92,4,0,1,92,310,401,8.51E-32,148
OTU_11,KY410992.1,Rhinosciurus laticaudatus,91.304,92,7,1,1,92,2260,2350,1.43E-24,124
OTU_111,OR360214.1,Bos taurus,98.913,92,0,1,1,91,289,380,2.99E-36,163
OTU_111,OR360227.1,Bos taurus,98.913,92,0,1,1,91,289,380,2.99E-36,163
OTU_111,OR360243.1,Bos taurus,98.913,92,0,1,1,91,289,380,2.99E-36,163
OTU_112,AC213900.3,Macaca mulatta,100,94,0,0,1,94,17965,18058,1.45E-39,174
OTU_112,MZ040940.1,Rhinopithecus roxellana,93.023,86,6,0,9,94,324,409,4.13E-25,126
