,ID,accession,ssciname,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
121,OTU_26,AC004979.1,Homo sapiens,100,91,0,0,1,91,58857,58767,6.42E-38,169
250,OTU_56,AC012365.6,Homo sapiens,96.703,91,3,0,1,91,41592,41682,6.47E-33,152
325,OTU_87,AC012365.6,Homo sapiens,100,91,0,0,1,91,41592,41682,6.42E-38,169
195,OTU_42,AC025627.13,Homo sapiens,100,91,0,0,1,91,130609,130699,6.42E-38,169
219,OTU_47,AC091134.7,Homo sapiens,100,94,0,0,1,94,135186,135093,1.45E-39,174
213,OTU_46,AC097526.3,Homo sapiens,100,92,0,0,1,92,54852,54761,1.82E-38,171
122,OTU_26,AC192008.2,Pan troglodytes,96.703,91,3,0,1,91,140641,140731,6.47E-33,152
241,OTU_53,AC193936.3,Pan troglodytes,90.526,95,9,0,1,95,141178,141272,4.19E-25,126
28,OTU_126,AC200082.7,Macaca mulatta,100,97,0,0,1,97,112627,112531,3.28E-41,180
27,OTU_126,AC202616.8,Macaca mulatta,100,97,0,0,1,97,67561,67465,3.28E-41,180
18,OTU_112,AC213900.3,Macaca mulatta,100,94,0,0,1,94,17965,18058,1.45E-39,174
139,OTU_29,AC214843.3,Macaca mulatta,97.872,94,2,0,1,94,27203,27110,3.14E-36,163
313,OTU_761,AC215276.3,Macaca mulatta,97.802,91,2,0,1,91,143248,143338,1.39E-34,158
314,OTU_77,AC215276.3,Macaca mulatta,98.901,91,1,0,1,91,143248,143338,2.99E-36,163
240,OTU_53,AC217026.3,Pan troglodytes,90.526,95,9,0,1,95,206368,206462,4.19E-25,126
156,OTU_305,AC239395.3,Homo sapiens,95.604,91,4,0,3,93,130290,130200,3.11E-31,147
310,OTU_74,AC239395.3,Homo sapiens,100,93,0,0,1,93,130292,130200,5.14E-39,172
71,OTU_17,AC239612.3,Homo sapiens,100,95,0,0,1,95,64738,64644,4.11E-40,176
70,OTU_17,AC244472.2,Homo sapiens,100,95,0,0,1,95,110226,110320,4.11E-40,176
135,OTU_284,AC255528.1,Homo sapiens,97.872,94,2,0,1,94,85575,85482,3.14E-36,163
77,OTU_18,AF107225.1,Babyrousa babyrussa,98.947,95,1,0,1,95,317,411,5.31E-39,172
258,OTU_58,AF420058.1,Cercopithecus aethiops,95.238,84,4,0,1,84,1414,1497,2.34E-27,134
186,OTU_40,AF420060.1,Pygathrix nemaeus,92.308,91,6,1,1,90,1414,1504,1.07E-25,128
157,OTU_305,AL030997.1,Homo sapiens,95.604,91,4,0,3,93,23066,23156,3.11E-31,147
311,OTU_74,AL030997.1,Homo sapiens,100,93,0,0,1,93,23064,23156,5.14E-39,172
343,OTU_94,AL035427.17,Homo sapiens,100,99,0,0,1,99,150710,150808,2.61E-42,183
324,OTU_86,AL117351.12,Homo sapiens,100,93,0,0,1,93,46783,46875,5.14E-39,172
163,OTU_31,AL158819.14,Homo sapiens,98.901,91,1,0,1,91,2827,2737,2.99E-36,163
137,OTU_284,AL356135.11,Homo sapiens,97.872,94,2,0,1,94,40702,40795,3.14E-36,163
80,OTU_181,AL390802.2,Homo sapiens,100,91,0,0,1,91,103116,103206,6.42E-38,169
79,OTU_181,AL583743.3,Homo sapiens,100,91,0,0,1,91,23523,23613,6.42E-38,169
110,OTU_23,AL590396.13,Homo sapiens,100,91,0,0,1,91,45838,45748,6.42E-38,169
177,OTU_36,AL590396.13,Homo sapiens,95.556,90,4,0,2,91,45837,45748,1.08E-30,145
72,OTU_175,AP002829.3,Homo sapiens,100,87,0,0,1,87,969,883,9.99E-36,161
74,OTU_175,AP003461.2,Homo sapiens,98.851,87,1,0,1,87,15365,15279,4.65E-34,156
194,OTU_42,AP023477.1,Homo sapiens,100,91,0,0,1,91,19781294,19781384,6.42E-38,169
296,OTU_701,AY131486.1,Catharsius molossus,96.25,80,3,0,1,80,300,379,6.95E-27,132
220,OTU_491,AY131544.1,Paragymnopleurus sp.,93.75,80,5,0,4,83,301,380,1.60E-23,121
13,OTU_11,AY227463.1,Rhinosciurus laticaudatus,95.652,92,4,0,1,92,310,401,8.51E-32,148
166,OTU_33,AY360298.1,Macaca mulatta,96.809,94,3,0,1,94,231,138,1.46E-34,158
91,OTU_192,AY360309.1,Macaca mulatta,98.925,93,1,0,2,94,230,138,2.43E-37,167
259,OTU_58,AY603036.1,Cercopithecus aethiops,95.238,84,4,0,1,84,810,893,2.34E-27,134
141,OTU_291,CP050569.1,Canis lupus familiaris,96.739,92,3,0,1,92,13521257,13521166,1.83E-33,154
262,OTU_60,CP050569.1,Canis lupus familiaris,100,92,0,0,1,92,13521257,13521166,1.82E-38,171
142,OTU_291,CP050620.1,Canis lupus familiaris,96.739,92,3,0,1,92,13523582,13523491,1.83E-33,154
263,OTU_60,CP050620.1,Canis lupus familiaris,100,92,0,0,1,92,13523582,13523491,1.82E-38,171
120,OTU_25,CP068258.2,Homo sapiens,100,86,0,0,1,86,59136597,59136512,3.53E-35,159
193,OTU_42,CP068261.2,Homo sapiens,100,91,0,0,1,91,19549593,19549683,6.42E-38,169
218,OTU_47,CP068261.2,Homo sapiens,100,94,0,0,1,94,23212463,23212556,1.45E-39,174
158,OTU_305,CT841529.2,Pan troglodytes,93.407,91,6,0,3,93,145544,145634,6.74E-28,135
