qseid,sseqid,sscinames,sskingdoms,pident,length,mismatch,evalue,bitscore,score
OTU_1,gi|2667407009|gb|PP263591.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587822|gb|OM489732.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587808|gb|OM489731.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587794|gb|OM489730.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587780|gb|OM489729.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587766|gb|OM489728.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587752|gb|OM489727.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587738|gb|OM489726.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587724|gb|OM489725.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587710|gb|OM489724.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587682|gb|OM489722.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587668|gb|OM489721.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587654|gb|OM489720.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587640|gb|OM489719.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587626|gb|OM489718.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587612|gb|OM489717.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587598|gb|OM489716.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587584|gb|OM489715.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587570|gb|OM489714.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587556|gb|OM489713.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587542|gb|OM489712.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587528|gb|OM489711.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587514|gb|OM489710.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587500|gb|OM489709.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587486|gb|OM489708.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587472|gb|OM489707.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587458|gb|OM489706.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587444|gb|OM489705.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587430|gb|OM489704.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587416|gb|OM489703.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587402|gb|OM489702.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587388|gb|OM489701.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587374|gb|OM489700.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587360|gb|OM489699.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587346|gb|OM489698.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587332|gb|OM489697.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587318|gb|OM489696.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587304|gb|OM489695.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587290|gb|OM489694.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587276|gb|OM489693.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587262|gb|OM489692.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587248|gb|OM489691.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587234|gb|OM489690.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587220|gb|OM489689.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587206|gb|OM489688.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587178|gb|OM489686.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587150|gb|OM489684.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587136|gb|OM489683.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
OTU_1,gi|2651587122|gb|OM489682.1|,Homo sapiens,Eukaryota,100,94,0,2.39E-39,174,94
