ID,accession,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU_1,OR643892.1,100,94,0,0,1,94,2828,2921,1.45E-39,174
OTU_1,OR643891.1,100,94,0,0,1,94,2824,2917,1.45E-39,174
OTU_1,OR652292.1,100,94,0,0,1,94,2830,2923,1.45E-39,174
OTU_1,OR621378.1,100,94,0,0,1,94,2832,2925,1.45E-39,174
OTU_1,OR567879.1,100,94,0,0,1,94,2827,2920,1.45E-39,174
OTU_1,OR557276.1,100,94,0,0,1,94,2830,2923,1.45E-39,174
OTU_1,OR495985.1,100,94,0,0,1,94,2828,2921,1.45E-39,174
OTU_1,OR494553.1,100,94,0,0,1,94,2828,2921,1.45E-39,174
OTU_1,OR468127.1,100,94,0,0,1,94,2829,2922,1.45E-39,174
OTU_1,OR327029.1,100,94,0,0,1,94,2827,2920,1.45E-39,174
OTU_2,MG725631.1,100,94,0,0,1,94,2816,2909,1.45E-39,174
OTU_2,NC_039090.1,100,94,0,0,1,94,2776,2869,1.45E-39,174
OTU_2,MG250542.1,100,94,0,0,1,94,3517,3610,1.45E-39,174
OTU_2,MZ521005.1,100,94,0,0,1,94,343,436,1.45E-39,174
OTU_2,JN714139.1,100,94,0,0,1,94,252,345,1.45E-39,174
OTU_2,JN714133.1,100,94,0,0,1,94,322,415,1.45E-39,174
OTU_2,JN714131.1,100,94,0,0,1,94,294,387,1.45E-39,174
OTU_2,JF810372.1,100,94,0,0,1,94,233,326,1.45E-39,174
OTU_2,JF810371.1,100,94,0,0,1,94,274,367,1.45E-39,174
OTU_2,JF810370.1,100,94,0,0,1,94,274,367,1.45E-39,174
OTU_3,MF893989.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893988.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893987.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893986.1,100,94,0,0,1,94,2249,2342,1.45E-39,174
OTU_3,MF893985.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893984.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893983.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,KM851035.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_3,KM851022.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_3,XR_006700350.1,100,94,0,0,1,94,1156,1249,1.45E-39,174
OTU_4,MF177027.1,100,92,0,0,1,92,2256,2347,1.82E-38,171
OTU_4,MF177026.1,100,92,0,0,1,92,2240,2331,1.82E-38,171
OTU_4,MF177025.1,100,92,0,0,1,92,2254,2345,1.82E-38,171
OTU_4,MF177022.1,100,92,0,0,1,92,2255,2346,1.82E-38,171
OTU_4,MF177021.1,100,92,0,0,1,92,2261,2352,1.82E-38,171
OTU_4,MF177020.1,100,92,0,0,1,92,2241,2332,1.82E-38,171
OTU_4,MF177019.1,100,92,0,0,1,92,2260,2351,1.82E-38,171
OTU_4,OQ231464.1,100,92,0,0,1,92,1171,1262,1.82E-38,171
OTU_4,OQ231463.1,100,92,0,0,1,92,1171,1262,1.82E-38,171
OTU_4,MK941883.1,100,92,0,0,1,92,2262,2353,1.82E-38,171
OTU_5,OR506257.1,100,102,0,0,1,102,2319,2420,5.88E-44,189
OTU_5,OR371516.1,100,102,0,0,1,102,3548,3649,5.88E-44,189
OTU_5,OR371515.1,100,102,0,0,1,102,3548,3649,5.88E-44,189
OTU_5,OR371514.1,100,102,0,0,1,102,3548,3649,5.88E-44,189
OTU_5,OR360151.1,100,102,0,0,1,102,306,407,5.88E-44,189
OTU_5,OR360149.1,100,102,0,0,1,102,306,407,5.88E-44,189
OTU_5,OR360119.1,100,102,0,0,1,102,306,407,5.88E-44,189
OTU_5,OR198728.1,100,102,0,0,1,102,303,404,5.88E-44,189
OTU_5,OR198727.1,100,102,0,0,1,102,302,403,5.88E-44,189
OTU_5,OR198726.1,100,102,0,0,1,102,301,402,5.88E-44,189
OTU_6,JN800721.1,97.849,93,2,0,1,93,2269,2361,1.11E-35,161
OTU_6,NC_004031.1,96.774,93,3,0,1,93,2269,2361,5.17E-34,156
OTU_8,LN873134.1,98.936,94,1,0,1,94,15285,15192,6.76E-38,169
OTU_8,NC_020753.1,97.872,94,2,0,1,94,2261,2354,3.14E-36,163
OTU_8,LC060940.1,93.617,94,6,0,1,94,2263,2356,1.47E-29,141
OTU_8,LC060941.1,93.617,94,6,0,1,94,2260,2353,1.47E-29,141
OTU_8,LC060942.1,93.617,94,6,0,1,94,2261,2354,1.47E-29,141
OTU_8,AY495454.1,83.871,93,12,3,3,94,2192,2282,7.00E-13,86.1
OTU_8,AY495457.1,82.927,82,11,3,14,94,2208,2287,1.96E-08,71.3
OTU_8,AY395862.1,80.412,97,13,4,1,94,2202,2295,7.05E-08,69.4
OTU_8,AF411543.1,85.507,69,6,4,27,94,2219,2284,7.05E-08,69.4
OTU_8,NC_065678.1,78.889,90,15,4,5,94,2266,2351,1.53E-04,58.4
OTU_9,NC_035815.1,100,92,0,0,1,92,2438,2529,1.82E-38,171
OTU_9,KY410900.1,100,92,0,0,1,92,2276,2367,1.82E-38,171
OTU_9,KY410899.1,100,92,0,0,1,92,2275,2366,1.82E-38,171
OTU_9,AY227453.1,100,92,0,0,1,92,315,406,1.82E-38,171
OTU_9,KY410905.1,97.826,92,2,0,1,92,2279,2370,3.93E-35,159
OTU_9,KY410902.1,95.652,92,4,0,1,92,2276,2367,8.51E-32,148
OTU_9,MT231329.1,94.565,92,4,1,1,92,2423,2513,1.42E-29,141
OTU_9,KY117541.1,94.565,92,4,1,1,92,2423,2513,1.42E-29,141
OTU_9,KY410908.1,93.548,93,5,1,1,92,2304,2396,1.84E-28,137
OTU_9,KY410907.1,93.548,93,5,1,1,92,2301,2393,1.84E-28,137
OTU_10,KJ698653.1,100,94,0,0,1,94,209,302,1.45E-39,174
OTU_10,MG996894.1,98.936,94,1,0,1,94,20,113,6.76E-38,169
OTU_10,MW257219.1,97.872,94,2,0,1,94,2265,2358,3.14E-36,163
OTU_10,MN640909.1,96.809,94,3,0,1,94,303,396,1.46E-34,158
OTU_10,NC_029403.1,96.809,94,3,0,1,94,2263,2356,1.46E-34,158
OTU_10,KP233214.1,96.809,94,3,0,1,94,112,205,1.46E-34,158
OTU_10,MZ061623.1,96.809,94,3,0,1,94,318,411,1.46E-34,158
OTU_10,MZ061622.1,96.809,94,3,0,1,94,318,411,1.46E-34,158
OTU_10,MW257220.1,96.809,94,3,0,1,94,2261,2354,1.46E-34,158
OTU_10,OQ231460.1,95.745,94,4,0,1,94,1167,1260,6.81E-33,152
OTU_11,AY227463.1,95.652,92,4,0,1,92,310,401,8.51E-32,148
OTU_11,KY410992.1,91.304,92,7,1,1,92,2260,2350,1.43E-24,124
OTU_11,KY410972.1,89.247,93,8,2,1,92,2299,2390,8.63E-22,115
OTU_11,NC_035812.1,88.421,95,6,5,1,92,2275,2367,4.02E-20,110
OTU_11,KY410905.1,88.043,92,11,0,1,92,2279,2370,4.02E-20,110
OTU_11,AY227465.1,88.421,95,6,5,1,92,318,410,4.02E-20,110
OTU_11,KY410971.1,87.097,93,10,2,1,92,2256,2347,1.87E-18,104
OTU_11,AY227466.1,87.097,93,10,2,1,92,322,413,1.87E-18,104
OTU_11,KY410991.1,81.915,94,14,3,1,92,2263,2355,8.69E-17,99
OTU_11,KY410906.1,81.72,93,16,1,1,92,2292,2384,1.45E-14,91.6
OTU_12,OR360243.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360227.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360214.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360199.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360198.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360197.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360196.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360194.1,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360187.1,100,92,0,0,1,92,290,381,1.82E-38,171
OTU_12,OR360185.1,100,92,0,0,1,92,288,379,1.82E-38,171
OTU_13,OP088335.1,100,95,0,0,1,95,306,400,4.11E-40,176
OTU_13,KJ193191.1,100,95,0,0,1,95,321,415,4.11E-40,176
OTU_13,GQ338949.1,100,95,0,0,1,95,1069,1163,4.11E-40,176
OTU_13,EU189382.1,100,95,0,0,1,95,322,416,4.11E-40,176
OTU_13,OR360146.1,98.947,95,1,0,1,95,301,395,1.91E-38,171
OTU_13,KJ193190.1,98.947,95,1,0,1,95,321,415,1.91E-38,171
OTU_13,MW035015.1,98.947,95,1,0,1,95,1,95,1.91E-38,171
OTU_13,NC_020737.1,98.947,95,1,0,1,95,2263,2357,1.91E-38,171
