qseid,sseqid,pident,length,mismatch,gapopens,qstart,qend,sstart,send,evalue,bitscore
OTU_1,MW698521.2,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MT506274.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MH449241.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MF498884.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,OL638724.1,100,94,0,0,1,94,2833,2926,2.08E-38,170
OTU_1,KY409531.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,OP682430.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MZ846503.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY680821.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MF057480.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MG672488.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MK175431.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MN699954.1,100,94,0,0,1,94,2820,2913,2.08E-38,170
OTU_1,KY824827.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MF055747.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MF056399.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY408726.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MK180576.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MN595724.2,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY409740.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MN595843.3,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MN687306.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,PV740852.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MH120450.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MZ846416.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MZ387983.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MZ847128.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY645852.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MG571220.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MZ387702.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MK265715.1,100,94,0,0,1,94,2833,2926,2.08E-38,170
OTU_1,MZ387538.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MF498685.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,KY409610.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MN849648.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MF058561.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MH120619.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,OP004786.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,PP084263.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MN848580.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MK617272.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MK408597.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,MK059566.1,100,94,0,0,1,94,2817,2910,2.08E-38,170
OTU_1,OL638895.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,PQ002752.1,100,94,0,0,1,94,2825,2918,2.08E-38,170
OTU_1,KY410169.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MK139589.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY409687.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,OM714711.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MF057918.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MZ386784.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,KY409601.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,OM638282.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MZ847613.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MZ847324.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY409737.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY849585.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MG272841.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KY409250.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MZ920456.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,LS997776.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,MH120814.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,PQ002743.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MG273121.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,PQ137359.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MG646242.1,100,94,0,0,1,94,2833,2926,2.08E-38,170
OTU_1,PX366866.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MZ920929.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MW513718.1,100,94,0,0,1,94,2835,2928,2.08E-38,170
OTU_1,PV067371.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MT419254.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MH981655.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,OM638182.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MG952818.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MZ846736.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MK217938.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MF522942.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,MF057758.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MK059638.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,KY409752.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MZ387171.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,KY408897.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,KX440380.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,MH351262.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MZ920568.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MF058073.1,100,94,0,0,1,94,2831,2924,2.08E-38,170
OTU_1,MG660648.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,OQ596594.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,MG646189.1,100,94,0,0,1,94,2830,2923,2.08E-38,170
OTU_1,OM714614.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MZ920951.1,100,94,0,0,1,94,2827,2920,2.08E-38,170
OTU_1,MK128804.1,100,94,0,0,1,94,2826,2919,2.08E-38,170
OTU_1,MN687201.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
OTU_1,MF056400.1,100,94,0,0,1,94,2828,2921,2.08E-38,170
OTU_1,PQ137371.1,100,94,0,0,1,94,2829,2922,2.08E-38,170
