"","qseid","sseqid","sscinames","sskingdoms","pident","length","mismatch","qstart","qend","sstart","ssend","evalue","bitscore","score"
"1","OTU_1","gi|2667407009|gb|PP263591.1|","Homo sapiens","Eukaryota",100,100,0,1,100,1100,1199,1.22e-42,185,100
"2","OTU_1001","gi|400278346|dbj|AB719250.1|","Leptobrachium nigrops","Eukaryota",100,93,0,1,93,419,511,8.46e-39,172,93
"3","OTU_1027","gi|1851762058|gb|MT231329.1|","Callosciurus notatus","Eukaryota",100,97,0,2,98,664,760,5.57e-41,180,97
"4","OTU_104","gi|1102318216|gb|KX929906.1|","Mallotus villosus","Eukaryota",100,99,0,1,99,134,232,4.31e-42,183,99
"5","OTU_1042","gi|2672402823|emb|OZ012707.1|","Cylloceria caligata","Eukaryota",97.701,87,1,1,86,8860049,8859963,1.3e-31,148,80
"6","OTU_1042","gi|2519850269|emb|OX596278.1|","Harpalus rufipes","Eukaryota",97.701,87,1,1,86,20139292,20139378,1.3e-31,148,80
"7","OTU_1042","gi|2211222234|emb|OW121795.1|","Leistus spinibarbis","Eukaryota",97.701,87,1,1,86,1647582,1647496,1.3e-31,148,80
"8","OTU_1049","gi|2040332916|emb|OU015617.1|","Zeuzera pyrina","Eukaryota",97.087,103,3,1,103,800369,800471,2.75e-39,174,94
"9","OTU_1059","gi|2667407009|gb|PP263591.1|","Homo sapiens","Eukaryota",99,100,0,1,99,1100,1199,2e-40,178,96
"10","OTU_1061","gi|2452980451|emb|OX439456.1|","Scotopteryx bipunctaria","Eukaryota",94.545,110,4,1,108,8931720,8931829,1.39e-37,169,91
"11","OTU_1063","gi|2634424567|gb|CP139526.1|","Homo sapiens","Eukaryota",94.898,98,5,1,98,19392922,19393019,3.43e-33,154,83
"12","OTU_1077","gi|2634424567|gb|CP139526.1|","Homo sapiens","Eukaryota",100,99,0,1,99,19392922,19393020,4.37e-42,183,99
"13","OTU_11","gi|1777419446|gb|MN255618.1|","Oreochromis niloticus","Eukaryota",96.907,97,3,1,97,442,538,5.61e-36,163,88
"14","OTU_11","gi|1789849575|gb|MK951678.1|","Oreochromis tanganicae","Eukaryota",96.907,97,3,1,97,511,607,5.61e-36,163,88
"15","OTU_1117","gi|1279714641|ref|XM_023046012.1|","Onthophagus taurus","Eukaryota",98.824,85,1,1,85,1175,1259,9.71e-33,152,82
"16","OTU_1123","gi|21326080|gb|AF502344.1|","Macaca mulatta","Eukaryota",100,99,0,1,99,3,101,4.31e-42,183,99
"17","OTU_1123","gi|2309482220|ref|XR_007726452.1|","Macaca thibetana thibetana","Eukaryota",100,99,0,1,99,6444,6542,4.31e-42,183,99
"18","OTU_1128","gi|163955263|gb|AC202616.8|","Macaca mulatta","Eukaryota",100,106,0,1,106,69304,69199,6.13e-46,196,106
"19","OTU_113","gi|295808886|emb|FN673842.1|","Homo sapiens","Eukaryota",99,100,1,1,100,183,84,5.66e-41,180,97
"20","OTU_113","gi|1743195474|ref|XR_004027927.1|","Nomascus leucogenys","Eukaryota",99,100,1,1,100,105,204,5.66e-41,180,97
"21","OTU_1153","gi|2560331525|emb|OY720427.1|","Melanotus villosus","Eukaryota",87.156,109,8,3,105,19765662,19765554,1.35e-22,119,64
"22","OTU_1155","gi|2560373887|emb|OY720460.1|","Harpalus rubripes","Eukaryota",98.837,86,1,1,86,27950192,27950107,2.7e-33,154,83
"23","OTU_1155","gi|2519850266|emb|OX596275.1|","Harpalus rufipes","Eukaryota",98.837,86,1,1,86,46823964,46823879,2.7e-33,154,83
"24","OTU_1155","gi|2243462181|emb|OW964829.1|","Ophonus ardosiacus","Eukaryota",98.837,86,1,1,86,7391216,7391131,2.7e-33,154,83
"25","OTU_119","gi|1993500643|gb|MW652803.1|","Barbatula barbatula","Eukaryota",100,99,0,1,99,439,537,4.31e-42,183,99
"26","OTU_12","gi|1125802453|ref|NC_032363.1|","Butastur liventer","Eukaryota",94.175,103,4,1,103,533,633,9.96e-34,156,84
"27","OTU_121","gi|12214278|emb|AL158819.14|","Homo sapiens","Eukaryota",100,100,0,1,100,4543,4444,1.22e-42,185,100
"28","OTU_1215","gi|914338100|gb|AC270106.1|","Homo sapiens","Eukaryota",99,100,1,1,100,49529,49430,5.66e-41,180,97
"29","OTU_123","gi|2481537422|dbj|LC537284.1|","Paradoxurus hermaphroditus","Eukaryota",99,100,1,1,100,9,108,5.66e-41,180,97
"30","OTU_1252","gi|2621701673|emb|OY759226.1|","Aradus depressus","Eukaryota",91.765,85,6,1,84,2182317,2182401,4.91e-22,117,63
"31","OTU_1273","gi|1279739641|ref|XM_023058910.1|","Onthophagus taurus","Eukaryota",93.269,104,7,1,104,1046,943,3.64e-33,154,83
"32","OTU_128","gi|18093148|gb|AC012365.6|","Homo sapiens","Eukaryota",100,96,0,1,96,39851,39946,1.91e-40,178,96
"33","OTU_1301","gi|2499298739|emb|OX467709.1|","Agelastica alni","Eukaryota",90.244,82,8,17,98,54617659,54617578,2.87e-19,108,58
"34","OTU_1304","gi|1279715063|ref|XR_002706304.1|","Onthophagus taurus","Eukaryota",94.231,104,5,6,108,185,288,2.93e-34,158,85
"35","OTU_1326","gi|1690489555|gb|MK280465.1|","Homo sapiens","Eukaryota",98,100,2,1,100,22,121,2.63e-39,174,94
"36","OTU_1326","gi|1042266311|gb|KX211935.1|","Pan paniscus","Eukaryota",98,100,2,1,100,515,614,2.63e-39,174,94
"37","OTU_1326","gi|2260361819|gb|OK184041.1|","Pan troglodytes","Eukaryota",98,100,2,1,100,1,100,2.63e-39,174,94
"38","OTU_1326","gi|1043092257|gb|KU308533.1|","Pan troglodytes ellioti","Eukaryota",98,100,2,1,100,518,617,2.63e-39,174,94
"39","OTU_1326","gi|1042266465|gb|KX211946.1|","Pan troglodytes schweinfurthii","Eukaryota",98,100,2,1,100,514,613,2.63e-39,174,94
