"","qseid","sseqid","n"
"1","OTU_1","KX440380.1",1
"2","OTU_1","KY408726.1",1
"3","OTU_1","KY408897.1",1
"4","OTU_1","KY409250.1",1
"5","OTU_1","KY409531.1",1
"6","OTU_1","KY409601.1",1
"7","OTU_1","KY409610.1",1
"8","OTU_1","KY409687.1",1
"9","OTU_1","KY409737.1",1
"10","OTU_1","KY409740.1",1
"11","OTU_1","KY409752.1",1
"12","OTU_1","KY410169.1",1
"13","OTU_1","KY645852.1",1
"14","OTU_1","KY680821.1",1
"15","OTU_1","KY824827.1",1
"16","OTU_1","KY849585.1",1
"17","OTU_1","LS997776.1",1
"18","OTU_1","MF055747.1",1
"19","OTU_1","MF055832.1",1
"20","OTU_1","MF056399.1",1
"21","OTU_1","MF056400.1",1
"22","OTU_1","MF057480.1",1
"23","OTU_1","MF057758.1",1
"24","OTU_1","MF057918.1",1
"25","OTU_1","MF058073.1",1
"26","OTU_1","MF058561.1",1
"27","OTU_1","MF498685.1",1
"28","OTU_1","MF498701.1",1
"29","OTU_1","MF498884.1",1
"30","OTU_1","MF522942.1",1
"31","OTU_1","MG272841.1",1
"32","OTU_1","MG273121.1",1
"33","OTU_1","MG571220.1",1
"34","OTU_1","MG646189.1",1
"35","OTU_1","MG646242.1",1
"36","OTU_1","MG660648.1",1
"37","OTU_1","MG672488.1",1
"38","OTU_1","MG952818.1",1
"39","OTU_1","MH120450.1",1
"40","OTU_1","MH120619.1",1
"41","OTU_1","MH120814.1",1
"42","OTU_1","MH351262.1",1
"43","OTU_1","MH449241.1",1
"44","OTU_1","MH981655.1",1
"45","OTU_1","MK059566.1",1
"46","OTU_1","MK059638.1",1
"47","OTU_1","MK128804.1",1
"48","OTU_1","MK139589.1",1
"49","OTU_1","MK175431.1",1
"50","OTU_1","MK180576.1",1
"51","OTU_1","MK217938.1",1
"52","OTU_1","MK265715.1",1
"53","OTU_1","MK408597.1",1
"54","OTU_1","MK617272.1",1
"55","OTU_1","MN595724.2",1
"56","OTU_1","MN595843.3",1
"57","OTU_1","MN687201.1",1
"58","OTU_1","MN687306.1",1
"59","OTU_1","MN699954.1",1
"60","OTU_1","MN848580.1",1
"61","OTU_1","MN849648.1",1
"62","OTU_1","MT419208.1",1
"63","OTU_1","MT419254.1",1
"64","OTU_1","MT506274.1",1
"65","OTU_1","MW513718.1",1
"66","OTU_1","MW698521.2",1
"67","OTU_1","MZ386784.1",1
"68","OTU_1","MZ387171.1",1
"69","OTU_1","MZ387538.1",1
"70","OTU_1","MZ387702.1",1
"71","OTU_1","MZ387983.1",1
"72","OTU_1","MZ846416.1",1
"73","OTU_1","MZ846503.1",1
"74","OTU_1","MZ846736.1",1
"75","OTU_1","MZ847128.1",1
"76","OTU_1","MZ847324.1",1
"77","OTU_1","MZ847613.1",1
"78","OTU_1","MZ920456.1",1
"79","OTU_1","MZ920568.1",1
"80","OTU_1","MZ920737.1",1
"81","OTU_1","MZ920929.1",1
"82","OTU_1","MZ920951.1",1
"83","OTU_1","OL638724.1",1
"84","OTU_1","OL638895.1",1
"85","OTU_1","OM638182.1",1
"86","OTU_1","OM638282.1",1
"87","OTU_1","OM714614.1",1
"88","OTU_1","OM714711.1",1
"89","OTU_1","OP004786.1",1
"90","OTU_1","OP682430.1",1
"91","OTU_1","OQ596594.1",1
"92","OTU_1","PP084263.1",1
"93","OTU_1","PQ002743.1",1
"94","OTU_1","PQ002752.1",1
"95","OTU_1","PQ137359.1",1
"96","OTU_1","PQ137371.1",1
"97","OTU_1","PV067371.1",1
"98","OTU_1","PV621645.1",1
"99","OTU_1","PV740852.1",1
"100","OTU_1","PX366866.1",1
"101","OTU_10","AY227453.1",1
"102","OTU_10","KY410899.1",1
"103","OTU_10","KY410900.1",1
"104","OTU_10","NC_035815.1",1
"105","OTU_101","EU755252.1",1
"106","OTU_101","EU755253.1",1
"107","OTU_101","FJ167857.1",1
"108","OTU_101","HM010684.1",1
"109","OTU_101","KC466567.1",1
"110","OTU_101","KC984222.1",1
"111","OTU_101","KC984270.1",1
"112","OTU_101","KF751616.1",1
"113","OTU_101","KF908854.1",1
"114","OTU_101","KF908859.1",1
"115","OTU_101","KJ637997.1",1
"116","OTU_101","KJ689447.1",1
"117","OTU_101","KJ739616.1",1
"118","OTU_101","KJ778676.1",1
"119","OTU_101","KJ833586.1",1
"120","OTU_101","KJ833587.1",1
"121","OTU_101","KJ883269.1",1
"122","OTU_101","KX592536.1",1
"123","OTU_101","L16770.1",1
"124","OTU_101","L22479.1",1
"125","OTU_101","LC880101.1",1
"126","OTU_101","MF069248.1",1
"127","OTU_101","MF069249.1",1
"128","OTU_101","MF069250.1",1
"129","OTU_101","MF069251.1",1
"130","OTU_101","MH744426.1",1
